X_id,Event_Unique_Id,Occurrence_year,Division,Homicide_Type,Occurrence_Date,Hood_ID,Neighbourhood,ObjectId,geometry
301,GO-20171661261,2017,D33,Stabbing,2017-09-13T00:00:00,53,Henry Farm (53),301,"{'type': 'MultiPoint', 'coordinates': [[-79.34307002, 43.76929913]]}"
302,GO-20171663919,2017,D41,Shooting,2017-09-14T00:00:00,126,Dorset Park (126),302,"{'type': 'MultiPoint', 'coordinates': [[-79.28551179, 43.76890038]]}"
303,GO-20171677843,2017,D51,Shooting,2017-09-16T00:00:00,72,Regent Park (72),303,"{'type': 'MultiPoint', 'coordinates': [[-79.3602871, 43.66342614]]}"
304,GO-20171682920,2017,D52,Shooting,2017-09-16T00:00:00,77,Waterfront Communities-The Island (77),304,"{'type': 'MultiPoint', 'coordinates': [[-79.38632963, 43.64800878]]}"
305,GO-20171640198,2017,D41,Stabbing,2017-09-10T00:00:00,122,Birchcliffe-Cliffside (122),305,"{'type': 'MultiPoint', 'coordinates': [[-79.26442781, 43.69816742]]}"
306,GO-20171770154,2017,D31,Shooting,2017-09-29T00:00:00,26,Downsview-Roding-CFB (26),306,"{'type': 'MultiPoint', 'coordinates': [[-79.51410965, 43.72063505]]}"
307,GO-20171778161,2017,D51,Shooting,2017-10-01T00:00:00,70,South Riverdale (70),307,"{'type': 'MultiPoint', 'coordinates': [[-79.35058013, 43.64309128]]}"
308,GO-20171778161,2017,D51,Shooting,2017-10-01T00:00:00,70,South Riverdale (70),308,"{'type': 'MultiPoint', 'coordinates': [[-79.35058013, 43.64309128]]}"
309,GO-20171807017,2017,D23,Shooting,2017-10-05T00:00:00,6,Kingsview Village-The Westway (6),309,"{'type': 'MultiPoint', 'coordinates': [[-79.54843435, 43.69447252]]}"
310,GO-20171798506,2017,D23,Other,2017-10-04T00:00:00,4,Rexdale-Kipling (4),310,"{'type': 'MultiPoint', 'coordinates': [[-79.56905092, 43.72418853]]}"
311,GO-20171821632,2017,D54,Stabbing,2017-10-07T00:00:00,60,Woodbine-Lumsden (60),311,"{'type': 'MultiPoint', 'coordinates': [[-79.31591241, 43.69752508]]}"
312,GO-20171828016,2017,D23,Shooting,2017-10-08T00:00:00,6,Kingsview Village-The Westway (6),312,"{'type': 'MultiPoint', 'coordinates': [[-79.55219337, 43.69873278]]}"
313,GO-20171864268,2017,D31,Shooting,2017-10-14T00:00:00,21,Humber Summit (21),313,"{'type': 'MultiPoint', 'coordinates': [[-79.5529431, 43.75144038]]}"
314,GO-20171897265,2017,D53,Stabbing,2017-10-20T00:00:00,55,Thorncliffe Park (55),314,"{'type': 'MultiPoint', 'coordinates': [[-79.34658826, 43.70321193]]}"
315,GO-20171856631,2017,D14,Other,2017-10-13T00:00:00,93,Dovercourt-Wallace Emerson-Junction (93),315,"{'type': 'MultiPoint', 'coordinates': [[-79.42540175, 43.66776054]]}"
316,GO-20171954551,2017,D54,Stabbing,2017-10-28T00:00:00,54,O'Connor-Parkview (54),316,"{'type': 'MultiPoint', 'coordinates': [[-79.30489867, 43.71598673]]}"
317,4799559,2013,D14,Other,2013-07-14T00:00:00,82,Niagara (82),317,"{'type': 'MultiPoint', 'coordinates': [[-79.41001312, 43.64419329]]}"
318,4948721,2013,D42,Shooting,2013-04-25T00:00:00,132,Malvern (132),318,"{'type': 'MultiPoint', 'coordinates': [[-79.2150335, 43.81876618]]}"
319,5172838,2013,D22,Stabbing,2013-07-15T00:00:00,11,Eringate-Centennial-West Deane (11),319,"{'type': 'MultiPoint', 'coordinates': [[-79.58081487, 43.64257418]]}"
320,4924967,2013,D32,Stabbing,2013-04-25T00:00:00,38,Lansing-Westgate (38),320,"{'type': 'MultiPoint', 'coordinates': [[-79.42538364, 43.75746765]]}"
321,4913839,2013,D31,Other,2013-04-29T00:00:00,25,Glenfield-Jane Heights (25),321,"{'type': 'MultiPoint', 'coordinates': [[-79.51822816, 43.7400529]]}"
322,4929615,2013,D41,Stabbing,2013-04-30T00:00:00,122,Birchcliffe-Cliffside (122),322,"{'type': 'MultiPoint', 'coordinates': [[-79.26366309, 43.69206823]]}"
323,5172838,2013,D22,Stabbing,2013-07-15T00:00:00,11,Eringate-Centennial-West Deane (11),323,"{'type': 'MultiPoint', 'coordinates': [[-79.58081487, 43.64257418]]}"
324,5172838,2013,D22,Stabbing,2013-07-15T00:00:00,11,Eringate-Centennial-West Deane (11),324,"{'type': 'MultiPoint', 'coordinates': [[-79.58081487, 43.64257418]]}"
325,4832188,2013,D14,Shooting,2013-05-19T00:00:00,81,Trinity-Bellwoods (81),325,"{'type': 'MultiPoint', 'coordinates': [[-79.42134356, 43.65095771]]}"
326,4823588,2013,D54,Other,2013-05-16T00:00:00,54,O'Connor-Parkview (54),326,"{'type': 'MultiPoint', 'coordinates': [[-79.3003169, 43.71251782]]}"
327,5001151,2013,D42,Shooting,2013-05-29T00:00:00,131,Rouge (131),327,"{'type': 'MultiPoint', 'coordinates': [[-79.21984219, 43.82190724]]}"
328,5067942,2013,D42,Other,2013-06-03T00:00:00,129,Agincourt North (129),328,"{'type': 'MultiPoint', 'coordinates': [[-79.28411223, 43.80780683]]}"
329,5162653,2013,D11,Shooting,2013-08-05T00:00:00,87,High Park-Swansea (87),329,"{'type': 'MultiPoint', 'coordinates': [[-79.47101519, 43.63826102]]}"
330,5096311,2013,D54,Stabbing,2013-06-27T00:00:00,57,Broadview North (57),330,"{'type': 'MultiPoint', 'coordinates': [[-79.35717999, 43.68292598]]}"
331,5143553,2013,D23,Shooting,2013-08-12T00:00:00,5,Elms-Old Rexdale (5),331,"{'type': 'MultiPoint', 'coordinates': [[-79.54567603, 43.72127341]]}"
332,5159817,2013,D31,Shooting,2013-07-28T00:00:00,25,Glenfield-Jane Heights (25),332,"{'type': 'MultiPoint', 'coordinates': [[-79.51630349, 43.75189346]]}"
333,5192957,2013,D31,Shooting,2013-08-23T00:00:00,25,Glenfield-Jane Heights (25),333,"{'type': 'MultiPoint', 'coordinates': [[-79.51040848, 43.74922746]]}"
334,GO-20141326860,2014,D41,Other,2014-01-14T00:00:00,119,Wexford/Maryvale (119),334,"{'type': 'MultiPoint', 'coordinates': [[-79.28954989, 43.75912955]]}"
335,5192957,2013,D31,Shooting,2013-08-23T00:00:00,25,Glenfield-Jane Heights (25),335,"{'type': 'MultiPoint', 'coordinates': [[-79.51040848, 43.74922746]]}"
336,GO-20141428622,2014,D23,Shooting,2014-01-29T00:00:00,8,Humber Heights-Westmount (8),336,"{'type': 'MultiPoint', 'coordinates': [[-79.5173064, 43.69461525]]}"
337,GO-20141431240,2014,D43,Other,2014-01-29T00:00:00,137,Woburn (137),337,"{'type': 'MultiPoint', 'coordinates': [[-79.22039354, 43.76948182]]}"
338,GO-20141381673,2014,D54,Stabbing,2014-02-02T00:00:00,54,O'Connor-Parkview (54),338,"{'type': 'MultiPoint', 'coordinates': [[-79.29943495, 43.702865]]}"
339,GO-20141462653,2014,D41,Other,2014-02-03T00:00:00,119,Wexford/Maryvale (119),339,"{'type': 'MultiPoint', 'coordinates': [[-79.30187284, 43.77080279]]}"
340,GO-20141470629,2014,D32,Shooting,2014-02-04T00:00:00,105,Lawrence Park North (105),340,"{'type': 'MultiPoint', 'coordinates': [[-79.40435542, 43.73366557]]}"
341,GO-20141500533,2014,D22,Shooting,2014-02-09T00:00:00,20,Alderwood (20),341,"{'type': 'MultiPoint', 'coordinates': [[-79.55295951, 43.60886852]]}"
342,GO-20141518863,2014,D23,Stabbing,2014-02-12T00:00:00,2,Mount Olive-Silverstone-Jamestown (2),342,"{'type': 'MultiPoint', 'coordinates': [[-79.58264743, 43.73839195]]}"
343,GO-20141663866,2014,D54,Shooting,2014-03-08T00:00:00,44,Flemingdon Park (44),343,"{'type': 'MultiPoint', 'coordinates': [[-79.33633149, 43.71838158]]}"
344,GO-20141667340,2014,D22,Stabbing,2014-03-09T00:00:00,14,Islington-City Centre West (14),344,"{'type': 'MultiPoint', 'coordinates': [[-79.52020565, 43.63216436]]}"
345,5143282,2013,D12,Shooting,2013-09-03T00:00:00,113,Weston (113),345,"{'type': 'MultiPoint', 'coordinates': [[-79.52828124, 43.70454767]]}"
346,5114771,2013,D33,Stabbing,2013-09-12T00:00:00,48,Hillcrest Village (48),346,"{'type': 'MultiPoint', 'coordinates': [[-79.36727868, 43.8060345]]}"
347,5245469,2013,D54,Stabbing,2013-09-14T00:00:00,65,Greenwood-Coxwell (65),347,"{'type': 'MultiPoint', 'coordinates': [[-79.32359895, 43.68336554]]}"
348,5269597,2013,D23,Shooting,2013-09-17T00:00:00,7,Willowridge-Martingrove-Richview (7),348,"{'type': 'MultiPoint', 'coordinates': [[-79.57037025, 43.67633938]]}"
349,GO-20141668180,2014,D55,Other,2014-03-12T00:00:00,65,Greenwood-Coxwell (65),349,"{'type': 'MultiPoint', 'coordinates': [[-79.33077081, 43.68037372]]}"
350,GO-20141703051,2014,D43,Stabbing,2014-03-15T00:00:00,137,Woburn (137),350,"{'type': 'MultiPoint', 'coordinates': [[-79.22909022, 43.76100951]]}"
351,5126688,2013,D12,Stabbing,2013-09-20T00:00:00,110,Keelesdale-Eglinton West (110),351,"{'type': 'MultiPoint', 'coordinates': [[-79.46765674, 43.69171645]]}"
352,GO-20141703847,2014,D55,Stabbing,2014-03-15T00:00:00,70,South Riverdale (70),352,"{'type': 'MultiPoint', 'coordinates': [[-79.35132068, 43.66246707]]}"
