ID,YEAR,DATE,DIVISION,HOMICIDE_TYPE,NEIGHBORHOOD,MONTH
GO-20161229465,2016,2016-07-13T00:00:00Z,D31,Shooting,Downsview-Roding-CFB (26),Jul
4779022,2013,2013-03-21T00:00:00Z,D51,Shooting,Moss Park (73),Mar
GO-20161613172,2016,2016-09-11T00:00:00Z,D14,Shooting,South Parkdale (85),Sep
GO-20161263080,2016,2016-07-18T00:00:00Z,D51,Other,Church-Yonge Corridor (75),Jul
4907315,2013,2013-03-28T00:00:00Z,D14,Shooting,Waterfront Communities-The Island (77),Mar
GO-20161329227,2016,2016-07-28T00:00:00Z,D41,Shooting,Bendale (127),Jul
5147700,2013,2013-07-09T00:00:00Z,D51,Other,Moss Park (73),Jul
GO-20161335085,2016,2016-07-29T00:00:00Z,D51,Stabbing,Church-Yonge Corridor (75),Jul
4902638,2013,2013-03-30T00:00:00Z,D32,Shooting,Yorkdale-Glen Park (31),Mar
GO-20161403032,2016,2016-08-09T00:00:00Z,D55,Other,Blake-Jones (69),Aug
4822914,2013,2013-02-06T00:00:00Z,D42,Other,Steeles (116),Feb
GO-20161443064,2016,2016-08-15T00:00:00Z,D51,Other,Moss Park (73),Aug
5020177,2013,2013-07-13T00:00:00Z,D32,Other,Newtonbrook West (36),Jul
GO-2016666749,2016,2016-04-19T00:00:00Z,D51,Other,North Riverdale (68),Apr
4822914,2013,2013-02-06T00:00:00Z,D42,Other,Steeles (116),Feb
GO-20161480338,2016,2016-08-21T00:00:00Z,D14,Shooting,Niagara (82),Aug
4837042,2013,2013-04-06T00:00:00Z,D51,Other,Regent Park (72),Apr
GO-20161506128,2016,2016-08-25T00:00:00Z,D43,Other,Scarborough Village (139),Aug
GO-20161506128,2016,2016-08-25T00:00:00Z,D43,Other,Scarborough Village (139),Aug
GO-20161506128,2016,2016-08-25T00:00:00Z,D43,Other,Scarborough Village (139),Aug
GO-20161520715,2016,2016-08-27T00:00:00Z,D55,Shooting,South Riverdale (70),Aug
GO-20161625137,2016,2016-09-13T00:00:00Z,D31,Stabbing,York University Heights (27),Sep
GO-20161696689,2016,2016-09-23T00:00:00Z,D43,Stabbing,Bendale (127),Sep
GO-20161688118,2016,2016-09-21T00:00:00Z,D11,Other,Weston-Pellam Park (91),Sep
GO-20161743137,2016,2016-09-30T00:00:00Z,D23,Shooting,West Humber-Clairville (1),Sep
GO-20141435425,2014,2014-01-30T00:00:00Z,D51,Other,Church-Yonge Corridor (75),Jan
GO-20161838374,2016,2016-10-16T00:00:00Z,D12,Shooting,Weston (113),Oct
GO-20161855287,2016,2016-10-18T00:00:00Z,D23,Shooting,West Humber-Clairville (1),Oct
GO-20161888229,2016,2016-10-24T00:00:00Z,D23,Shooting,Kingsview Village-The Westway (6),Oct
GO-20161907779,2016,2016-10-27T00:00:00Z,D43,Shooting,Woburn (137),Oct
GO-20161966289,2016,2016-11-05T00:00:00Z,D14,Other,Trinity-Bellwoods (81),Nov
GO-20162051533,2016,2016-11-18T00:00:00Z,D33,Shooting,Victoria Village (43),Nov
GO-20162055725,2016,2016-11-19T00:00:00Z,D31,Shooting,Black Creek (24),Nov
GO-20162106299,2016,2016-11-27T00:00:00Z,D55,Shooting,South Riverdale (70),Nov
GO-20162138470,2016,2016-12-03T00:00:00Z,D32,Other,Clanton Park (33),Dec
GO-20162148586,2016,2016-12-04T00:00:00Z,D31,Stabbing,Glenfield-Jane Heights (25),Dec
GO-20162172757,2016,2016-12-07T00:00:00Z,D54,Shooting,Old East York (58),Dec
GO-20162210973,2016,2016-12-14T00:00:00Z,D43,Shooting,Scarborough Village (139),Dec
GO-20162229166,2016,2016-12-16T00:00:00Z,D14,Stabbing,Little Portugal (84),Dec
GO-20162233489,2016,2016-12-17T00:00:00Z,D12,Shooting,Weston (113),Dec
GO-20162242930,2016,2016-12-18T00:00:00Z,D23,Shooting,Kingsview Village-The Westway (6),Dec
GO-20162276833,2016,2016-12-24T00:00:00Z,D51,Stabbing,Moss Park (73),Dec
GO-201743106,2017,2017-01-08T00:00:00Z,D51,Shooting,Moss Park (73),Jan
GO-2016215657,2016,2016-02-05T00:00:00Z,D42,Other,Malvern (132),Feb
GO-2016215657,2016,2016-02-05T00:00:00Z,D42,Other,Malvern (132),Feb
GO-2016215657,2016,2016-02-05T00:00:00Z,D42,Other,Malvern (132),Feb
GO-2016215657,2016,2016-02-05T00:00:00Z,D42,Other,Malvern (132),Feb
GO-2017137133,2017,2017-01-23T00:00:00Z,D31,Shooting,Humber Summit (21),Jan
GO-2017163412,2017,2017-01-26T00:00:00Z,D22,Other,Mimico (includes Humber Bay Shores) (17),Jan
GO-2017186988,2017,2017-01-30T00:00:00Z,D51,Shooting,Moss Park (73),Jan
GO-2017189239,2017,2017-01-30T00:00:00Z,D51,Shooting,Regent Park (72),Jan
GO-2017202856,2017,2017-02-01T00:00:00Z,D31,Shooting,Glenfield-Jane Heights (25),Feb
GO-2017222142,2017,2017-02-05T00:00:00Z,D54,Shooting,Danforth (66),Feb
GO-2017233559,2017,2017-02-06T00:00:00Z,D23,Shooting,Elms-Old Rexdale (5),Feb
GO-2017233897,2017,2017-02-06T00:00:00Z,D32,Other,Willowdale West (37),Feb
GO-2017291986,2017,2017-02-16T00:00:00Z,D54,Other,O'Connor-Parkview (54),Feb
GO-201594334,2015,2015-01-16T00:00:00Z,D23,Other,West Humber-Clairville (1),Jan
GO-2017352942,2017,2017-02-25T00:00:00Z,D53,Shooting,Thorncliffe Park (55),Feb
GO-2016838159,2016,2016-05-15T00:00:00Z,D23,Shooting,West Humber-Clairville (1),May
GO-2017468897,2017,2017-03-16T00:00:00Z,D42,Shooting,Rouge (131),Mar
GO-2017486409,2017,2017-03-18T00:00:00Z,D54,Shooting,Taylor-Massey (61),Mar
GO-2017564412,2017,2017-03-31T00:00:00Z,D11,Shooting,Humber Heights-Westmount (8),Mar
GO-2017662074,2017,2017-04-14T00:00:00Z,D42,Shooting,L'Amoreaux (117),Apr
GO-2017674351,2017,2017-04-14T00:00:00Z,D55,Shooting,South Riverdale (70),Apr
GO-2017703097,2017,2017-04-21T00:00:00Z,D13,Shooting,Briar Hill-Belgravia (108),Apr
GO-2017402242,2017,2017-03-04T00:00:00Z,D55,Other,North Riverdale (68),Mar
GO-2017904599,2017,2017-05-22T00:00:00Z,D55,Shooting,South Riverdale (70),May
GO-20171007434,2017,2017-06-07T00:00:00Z,D12,Other,Keelesdale-Eglinton West (110),Jun
GO-20171035511,2017,2017-06-11T00:00:00Z,D31,Shooting,Humbermede (22),Jun
GO-20171118832,2017,2017-06-23T00:00:00Z,D11,Stabbing,Dovercourt-Wallace Emerson-Junction (93),Jun
GO-20171184598,2017,2017-07-02T00:00:00Z,D51,Shooting,Regent Park (72),Jul
GO-20171319697,2017,2017-07-23T00:00:00Z,D42,Shooting,Rouge (131),Jul
GO-20171319697,2017,2017-07-23T00:00:00Z,D42,Shooting,Rouge (131),Jul
GO-20171323827,2017,2017-07-23T00:00:00Z,D42,Shooting,Malvern (132),Jul
GO-20171371751,2017,2017-07-30T00:00:00Z,D32,Shooting,Yorkdale-Glen Park (31),Jul
GO-20171378728,2017,2017-07-31T00:00:00Z,D51,Shooting,Moss Park (73),Jul
GO-20171379055,2017,2017-08-01T00:00:00Z,D13,Shooting,Humewood-Cedarvale (106),Aug
GO-20171377317,2017,2017-07-31T00:00:00Z,D54,Stabbing,Broadview North (57),Jul
GO-20171499040,2017,2017-08-17T00:00:00Z,D31,Stabbing,Glenfield-Jane Heights (25),Aug
GO-2017904599,2017,2017-05-22T00:00:00Z,D55,Other,South Riverdale (70),May
GO-20171503946,2017,2017-08-20T00:00:00Z,D14,Shooting,Kensington-Chinatown (78),Aug
GO-20171516247,2017,2017-08-22T00:00:00Z,D31,Stabbing,Glenfield-Jane Heights (25),Aug
GO-20171578601,2017,2017-08-31T00:00:00Z,D31,Shooting,Downsview-Roding-CFB (26),Aug
GO-20171592166,2017,2017-09-02T00:00:00Z,D23,Shooting,Elms-Old Rexdale (5),Sep
GO-20171593482,2017,2017-09-06T00:00:00Z,D43,Stabbing,Eglinton East (138),Sep
GO-20171661261,2017,2017-09-13T00:00:00Z,D33,Stabbing,Henry Farm (53),Sep
GO-20171663919,2017,2017-09-14T00:00:00Z,D41,Shooting,Dorset Park (126),Sep
GO-20171677843,2017,2017-09-16T00:00:00Z,D51,Shooting,Regent Park (72),Sep
GO-20171682920,2017,2017-09-16T00:00:00Z,D52,Shooting,Waterfront Communities-The Island (77),Sep
GO-20171640198,2017,2017-09-10T00:00:00Z,D41,Stabbing,Birchcliffe-Cliffside (122),Sep
GO-20171770154,2017,2017-09-29T00:00:00Z,D31,Shooting,Downsview-Roding-CFB (26),Sep
GO-20171778161,2017,2017-10-01T00:00:00Z,D51,Shooting,South Riverdale (70),Oct
GO-20171778161,2017,2017-10-01T00:00:00Z,D51,Shooting,South Riverdale (70),Oct
GO-20171807017,2017,2017-10-05T00:00:00Z,D23,Shooting,Kingsview Village-The Westway (6),Oct
GO-20171798506,2017,2017-10-04T00:00:00Z,D23,Other,Rexdale-Kipling (4),Oct
GO-20171821632,2017,2017-10-07T00:00:00Z,D54,Stabbing,Woodbine-Lumsden (60),Oct
GO-20171828016,2017,2017-10-08T00:00:00Z,D23,Shooting,Kingsview Village-The Westway (6),Oct
GO-20171864268,2017,2017-10-14T00:00:00Z,D31,Shooting,Humber Summit (21),Oct
GO-20171897265,2017,2017-10-20T00:00:00Z,D53,Stabbing,Thorncliffe Park (55),Oct
GO-20171856631,2017,2017-10-13T00:00:00Z,D14,Other,Dovercourt-Wallace Emerson-Junction (93),Oct
GO-20171954551,2017,2017-10-28T00:00:00Z,D54,Stabbing,O'Connor-Parkview (54),Oct
4799559,2013,2013-07-14T00:00:00Z,D14,Other,Niagara (82),Jul
4948721,2013,2013-04-25T00:00:00Z,D42,Shooting,Malvern (132),Apr
5172838,2013,2013-07-15T00:00:00Z,D22,Stabbing,Eringate-Centennial-West Deane (11),Jul
4924967,2013,2013-04-25T00:00:00Z,D32,Stabbing,Lansing-Westgate (38),Apr
4913839,2013,2013-04-29T00:00:00Z,D31,Other,Glenfield-Jane Heights (25),Apr
4929615,2013,2013-04-30T00:00:00Z,D41,Stabbing,Birchcliffe-Cliffside (122),Apr
5172838,2013,2013-07-15T00:00:00Z,D22,Stabbing,Eringate-Centennial-West Deane (11),Jul
5172838,2013,2013-07-15T00:00:00Z,D22,Stabbing,Eringate-Centennial-West Deane (11),Jul
4832188,2013,2013-05-19T00:00:00Z,D14,Shooting,Trinity-Bellwoods (81),May
4823588,2013,2013-05-16T00:00:00Z,D54,Other,O'Connor-Parkview (54),May
5001151,2013,2013-05-29T00:00:00Z,D42,Shooting,Rouge (131),May
5067942,2013,2013-06-03T00:00:00Z,D42,Other,Agincourt North (129),Jun
5162653,2013,2013-08-05T00:00:00Z,D11,Shooting,High Park-Swansea (87),Aug
5096311,2013,2013-06-27T00:00:00Z,D54,Stabbing,Broadview North (57),Jun
5143553,2013,2013-08-12T00:00:00Z,D23,Shooting,Elms-Old Rexdale (5),Aug
5159817,2013,2013-07-28T00:00:00Z,D31,Shooting,Glenfield-Jane Heights (25),Jul
5192957,2013,2013-08-23T00:00:00Z,D31,Shooting,Glenfield-Jane Heights (25),Aug
GO-20141326860,2014,2014-01-14T00:00:00Z,D41,Other,Wexford/Maryvale (119),Jan
5192957,2013,2013-08-23T00:00:00Z,D31,Shooting,Glenfield-Jane Heights (25),Aug
GO-20141428622,2014,2014-01-29T00:00:00Z,D23,Shooting,Humber Heights-Westmount (8),Jan
GO-20141431240,2014,2014-01-29T00:00:00Z,D43,Other,Woburn (137),Jan
GO-20141381673,2014,2014-02-02T00:00:00Z,D54,Stabbing,O'Connor-Parkview (54),Feb
GO-20141462653,2014,2014-02-03T00:00:00Z,D41,Other,Wexford/Maryvale (119),Feb
GO-20141470629,2014,2014-02-04T00:00:00Z,D32,Shooting,Lawrence Park North (105),Feb
GO-20141500533,2014,2014-02-09T00:00:00Z,D22,Shooting,Alderwood (20),Feb
GO-20141518863,2014,2014-02-12T00:00:00Z,D23,Stabbing,Mount Olive-Silverstone-Jamestown (2),Feb
GO-20141663866,2014,2014-03-08T00:00:00Z,D54,Shooting,Flemingdon Park (44),Mar
GO-20141667340,2014,2014-03-09T00:00:00Z,D22,Stabbing,Islington-City Centre West (14),Mar
5143282,2013,2013-09-03T00:00:00Z,D12,Shooting,Weston (113),Sep
5114771,2013,2013-09-12T00:00:00Z,D33,Stabbing,Hillcrest Village (48),Sep
5245469,2013,2013-09-14T00:00:00Z,D54,Stabbing,Greenwood-Coxwell (65),Sep
5269597,2013,2013-09-17T00:00:00Z,D23,Shooting,Willowridge-Martingrove-Richview (7),Sep
GO-20141668180,2014,2014-03-12T00:00:00Z,D55,Other,Greenwood-Coxwell (65),Mar
GO-20141703051,2014,2014-03-15T00:00:00Z,D43,Stabbing,Woburn (137),Mar
5126688,2013,2013-09-20T00:00:00Z,D12,Stabbing,Keelesdale-Eglinton West (110),Sep
GO-20141703847,2014,2014-03-15T00:00:00Z,D55,Stabbing,South Riverdale (70),Mar
GO-20141731923,2014,2014-03-19T00:00:00Z,D55,Shooting,East End-Danforth (62),Mar
GO-20141731923,2014,2014-03-19T00:00:00Z,D55,Shooting,East End-Danforth (62),Mar
GO-20141766614,2014,2014-03-25T00:00:00Z,D11,Shooting,Weston-Pellam Park (91),Mar
GO-20141824235,2014,2014-04-04T00:00:00Z,D51,Shooting,Cabbagetown-South St.James Town (71),Apr
GO-20141880069,2014,2014-04-12T00:00:00Z,D42,Shooting,Rouge (131),Apr
5128923,2013,2013-10-13T00:00:00Z,D12,Stabbing,Weston (113),Oct
GO-20142003751,2014,2014-05-02T00:00:00Z,D13,Shooting,Briar Hill-Belgravia (108),May
GO-20142145283,2014,2014-05-24T00:00:00Z,D55,Shooting,Greenwood-Coxwell (65),May
GO-20142242196,2014,2014-06-10T00:00:00Z,D42,Other,Milliken (130),Jun
GO-20142439822,2014,2014-07-06T00:00:00Z,D51,Shooting,Moss Park (73),Jul
GO-20142452482,2014,2014-07-08T00:00:00Z,D32,Shooting,Yorkdale-Glen Park (31),Jul
GO-20142499434,2014,2014-07-15T00:00:00Z,D33,Other,Pleasant View (46),Jul
GO-20142665166,2014,2014-08-09T00:00:00Z,D22,Stabbing,Etobicoke West Mall (13),Aug
GO-20142728301,2014,2014-08-18T00:00:00Z,D12,Shooting,Rockcliffe-Smythe (111),Aug
GO-20142777149,2014,2014-08-26T00:00:00Z,D14,Shooting,Waterfront Communities-The Island (77),Aug
GO-20142804113,2014,2014-08-30T00:00:00Z,D14,Other,Palmerston-Little Italy (80),Aug
GO-20141272537,2014,2014-01-03T00:00:00Z,D51,Other,Cabbagetown-South St.James Town (71),Jan
